Tipo de actividad,Fecha,Favorito,Título,Distancia,Calorías,Hora,Frecuencia cardiaca media,Frecuencia cardiaca máxima,Cadencia de carrera media,Cadencia de carrera máxima,Ritmo medio,Ritmo óptimo,Ganancia de altura,Altura perdida,Longitud media de zancada
trail_running,2018-08-10 18:56:32,false,2height run,20.26,1341,02:35:19,141,175,150,194,7:40,3:30,1209,1215,0.87
trail_running,2018-08-08 19:35:19,false,jata,12.09,833,01:31:19,140,171,148,222,7:33,4:11,650,652,0.89
trail_running,2018-08-07 18:48:50,false,Sollube,15.7,934,01:48:00,128,179,158,242,6:53,3:37,757,753,0.92
trail_running,2018-08-03 11:30:49,false,Zumetxagas,11,734,01:11:57,147,170,156,240,6:32,4:10,410,406,0.98
trail_running,2018-08-01 18:54:27,false,Jata 2 height,24.75,1554,03:08:50,141,202,152,244,7:38,4:14,1270,1268,0.86
street_running,2018-07-27 07:16:16,false,Markaida,6.79,616,00:44:50,169,189,164,174,6:36,4:39,150,184,0.92
trail_running,2018-07-26 17:28:37,true,Jata doble,20.53,1546,02:44:49,147,176,150,242,8:02,4:11,1304,1306,0.83
trail_running,2018-07-24 19:39:29,false,Jata,12.02,1240,01:32:47,164,194,146,196,7:43,4:14,670,675,0.89
trail_running,2018-07-22 13:35:08,false,Mungia Carrera,10.11,709,01:07:38,141,164,160,174,6:41,4:24,311,316,0.93
trail_running,2018-07-18 19:11:33,false,Jata harder,12.01,1225,01:29:16,165,209,148,178,7:26,4:13,654,657,0.91
trail_running,2018-07-16 18:40:05,true,2height,19.14,1349,02:24:32,136,177,150,242,7:33,4:11,1125,1130,0.88
trail_running,2018-07-13 18:01:29,false,Ehun milak,53,4303,09:15:04,146,198,132,248,10:28,2:48,3800,3580,0.83
street_running,2018-07-11 18:45:23,false,Maruri,10.02,604,00:53:34,145,175,168,178,5:21,3:50,235,238,1.12
trail_running,2018-07-10 07:25:56,false,zumetxagas,10.07,617,01:07:08,138,170,162,182,6:40,4:11,326,331,0.93
